timestamp,sensor_id,distance_cm,temperature_c,humidity_pct,location,status
2024-01-01 08:00:00,S001,45.2,22.5,55.0,Warehouse_A,active
2024-01-01 08:01:00,S001,46.1,22.6,55.1,Warehouse_A,active
2024-01-01 08:02:00,S001,,22.7,55.2,Warehouse_A,active
2024-01-01 08:03:00,S002,120.5,23.0,54.8,Warehouse_B,active
2024-01-01 08:04:00,S002,9999.0,23.1,54.9,Warehouse_B,active
2024-01-01 08:05:00,S001,47.3,22.8,55.3,Warehouse_A,active
2024-01-01 08:06:00,S003,,,,Warehouse_C,inactive
2024-01-01 08:07:00,S002,118.2,23.2,54.7,Warehouse_B,active
2024-01-01 08:08:00,S001,-5.0,22.9,55.4,Warehouse_A,active
2024-01-01 08:09:00,S003,80.0,21.0,60.0,Warehouse_C,active
2024-01-01 08:10:00,S001,48.0,22.9,55.5,Warehouse_A,active
2024-01-01 08:11:00,S002,119.0,23.3,54.6,Warehouse_B,active
2024-01-01 08:12:00,S001,46.8,22.8,,Warehouse_A,active
2024-01-01 08:13:00,S003,82.1,21.1,59.8,Warehouse_C,active
2024-01-01 08:14:00,S002,10500.0,23.4,54.5,Warehouse_B,active
2024-01-01 08:15:00,S001,999.9,22.7,55.6,Warehouse_A,active
2024-01-01 08:16:00,S003,81.5,21.2,59.9,Warehouse_C,active
2024-01-01 08:17:00,S002,117.8,23.5,54.4,Warehouse_B,active
2024-01-01 08:18:00,,45.0,22.6,55.7,,active
2024-01-01 08:19:00,S001,45.9,22.5,55.8,Warehouse_A,active
2024-01-01 08:20:00,S003,83.0,21.3,59.7,Warehouse_C,active
2024-01-01 08:21:00,S002,116.5,23.6,54.3,Warehouse_B,active
2024-01-01 08:22:00,S001,47.1,22.4,55.9,Warehouse_A,ACTIVE
2024-01-01 08:23:00,S001,47.1,22.4,55.9,Warehouse_A,active
2024-01-01 08:24:00,S003,,21.4,,Warehouse_C,active
2024-01-01 08:25:00,S002,115.9,23.7,54.2,Warehouse_B,active
2024-01-01 08:26:00,S001,46.5,22.3,56.0,Warehouse_A,active
2024-01-01 08:27:00,S003,84.2,21.5,59.6,Warehouse_C,active
2024-01-01 08:28:00,S002,114.8,23.8,54.1,Warehouse_B,active
2024-01-01 08:29:00,S001,46.0,22.2,56.1,Warehouse_A,active
